Company,Event / Reason,Date,Theme,How,Who did the Action,# of People,Where,Source
Netflix,"After Netflix decided to block certain VPN services so that users of these services could not access the US catalogue of its services, a petition was circulated which drew attention the negative precedent this policy sets towards a users right to data privacy.",2016-05-11,Ethics (Data Privacy),Protest (Online),Concerned Citizens,50000,Internet,https://act.openmedia.org/netflix
PayPal,"An online petition demanding citizens of Gaza have access to PayPal gains nearly 200,000 signatures. The petition alleges that company does not acknowledge Palestine's sovereignty.",2016-09-13,Ethics (Palestine),Petition (Online),Concerned Citizens,176422,Palestine,https://actions.sumofus.org/a/paypal-stop-discriminating-against-palestinians
PayPal,Boycott after CEO donates million to Trump campaign,2016-10-17,Ethics (General),Boycott,Concerned Citizens,NaN,Internet,https://www.telegraph.co.uk/technology/2016/10/17/paypal-founder-peter-thiels-1m-trump-donation-leads-to-boycott-c/
Hewlett-Packard,"An online petition calling for Hewlett Packard to stop supporting the Israeli military and apartheid by providing necessary technology gathers over 10,000 signatures.",2016-11-25,Ethics (Palestine),Petition (Online),Concerned Citizens,10097,Internet,https://org.salsalabs.com/o/641/p/dia/action3/common/public/?action_KEY=20604
Hewlett-Packard,"""Boycott HP International Week of Action"" - For one week demonstrations took place across 6 continents in over a 100 countries, demanding HP discontinue its support of the Israeli apartheid.",2016-11-25,Ethics (Palestine),Petition (Online),Concerned Citizens,900+,Worldwide,https://www.facebook.com/events/112884545846474/
Hewlett-Packard,"Between November 25 - December 3, more than 150 demonstrations took place in 30 different countries. This mass mobilization was in support of Palestine, protesting the use of HP technology by the Israeli Army.",2016-11-25,Ethics (Palestine),Protests (Multiple),Concerned Citizens,NaN,,https://www.workers.org/2016/12/17/largest-bds-mobilization-ever-boycott-hewlett-packard/
Oracle,"George A Bolisner, posted a public resignation letter to LinkedIn because he did not agree with Company's choice to aid President Trump.",2016-12-19,Public Resignation (not mass coordinated),Resignation,Tech Employees,1,"Redwood City, California",https://www.linkedin.com/pulse/resigning-from-oracle-george-a-polisner/
Apple,"Following a number of protests intended to stop private buses operating in Silicon Valley, five buses used by Apple to shuttle their employees have their windows shattered by pellet guns.",2017-01-17,Tech Presence,Protest,Concerned Citizens,NaN,San Francisco,https://www.cnet.com/news/apple-employee-commuter-buses-attacked-san-francisco-silicon-valley/
Uber,"#DeleteUber protest leads to over 200,000 accounts being deleted over the course of 6 days.",2017-02-03,,Protest,Concerned Citizens,"200,000+",Worldwide,https://www.theverge.com/2017/2/2/14493760/delete-uber-protest-donald-trump-accounts-deleted
IBM,"An open letter written by IBM employees and addressed to CEO Ginni Rometty, demanded the company reaffirm its values and acknowledge the right of employees refuse participation in US government contracts which violate civil liberties.",2017-02-12,,Petition (Online),Tech Employees,2736,Internet,https://www.coworker.org/petitions/ibmers-to-ceo-ginni-rometty-affirm-ibm-values
Oracle,"Petition demanding that Oracle sign the 'Immigrant Amiscus Brief', opposing President Trump's executive order on immigration.",2017-02-12,,Petition (Online),Tech Employees,930,Internet,
Uber,"Following Uber's choice to cut prices by 15% - 20% for passengers, hundreds of drivers found themselves making significantly lower returns and chose to organize and strike.",2017-02-13,Labor / Wage,Protest,Drivers,200+,Qatar,https://www.reuters.com/article/us-uber-qatar-strike/hundreds-of-uber-drivers-in-qatar-go-on-strike-after-price-cuts-idUSKBN15S196
Hewlett-Packard,Activists protest HP's involvement in the Israeli apartheid and the companies profit from US policies regarding immigration and incarceration. The demonstration took place outside the RSA cyber-security conference in San Francisco.,2017-02-19,"Ethics (Palestine, Immigration, Incarceration)",Protest,Concerned Citizens,NaN,San Francisco,https://www.indybay.org/newsitems/2017/02/19/18796636.php
Adobe Systems,"In light of Adobe Systems's decision to discontinue Flash Player, consumers and developers who work with the software created a petition to demand the program be released as open-source software.",2017-07-28,Consumer Outrage,Petition (Online),Concerned Citizens,21855,Internet,https://www.change.org/p/adobe-systems-make-flash-player-open-sourced
Apple,Roughly 100 protestors from AT&T protested an Apple product launch event at Apple's campus. The protest was in response to a lack of job security following mass outsourcing my AT&T,2017-09-12,Job Security,Street Protest,AT&T Workers,100,Cupertino,http://www.siliconbeat.com/2017/09/11/att-workers-plans-protest-apples-iphone-launch-event/
Hewlett-Packard,Protestors demonstrated against Hewlett Packards support of the Israeli Military and the Israeli Apartheid in Berlin,2017-11-29,Ethics (Palestine),Protest,Concerned Citizens,57*,"Berlin, Germany",https://samidoun.net/2017/11/29-november-berlin-protest-against-hewlett-packards-dealings-with-apartheid/
Netflix,"Following the release of comedian Tom Segura's Netflix special ""Disgraceful"", an online petition was started to demanded the comedy special be taken down due to its anti-down syndrome rhetoric.",2018-01-22,Ethics (General),Petition (Online),Concerned Citizens,97071,Internet,https://www.change.org/p/netflix-take-it-down-netflix
Facebook & Google,"Former employees of Facebook and Google launch campaign ""Truth About Tech"" to fight against what they built.",2018-02-04,Ethics (General),Campaign Launch,Tech Employees,NaN,USA,https://www.business-humanrights.org/en/usa-former-facebook-google-employees-form-coalition-to-fight-dangerous-effects-of-technology
Hewlett-Packard,Protestors demonstrated against Hewlett Packards support of the Israeli Military and the Israeli Apartheid in Berlin,2018-03-03,Ethics (Palestine),Protest,Concerned Citizens,20*,"Berlin, Germany",https://samidoun.net/2018/03/3-march-berlin-protest-against-hewlett-packard/
